2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_2025101502_2510_1149
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 3] AI Product: 네이버페이 포인트 적립 이벤트 (251015)
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_20251015_2510_3_1044
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_20251015_2510_3_1044
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_20251015_2510_3_1044
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: campaign2.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: campaign2.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 4] AI Product: 네이버페이 포인트 적립 이벤트 (251001)
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_2025100102_2510_0930
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_2025100102_2510_0930
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_2025100102_2510_0930
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 5] AI Product: 네이버페이 포인트 뽑기 이벤트 (251015)
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_pointdraw_251015_1900
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_pointdraw_251015_1900
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_pointdraw_251015_1900
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 6] AI Product: 네이버페이 포인트 뽑기 이벤트 (251015)
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_pointdraw_251015_1977
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_pointdraw_251015_1977
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_pointdraw_251015_1977
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 7] AI Product: 네이버페이 포인트 뽑기 이벤트 (카드)
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_moneycard_1015
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_moneycard_1015
2025-10-16 00:16:11 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dpointdraw_moneycard_1015
2025-10-16 00:16:11 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:11 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:11 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 8] AI Product: 네이버페이 포인트 뽑기 이벤트 (혜택)
2025-10-16 00:16:11 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_benefit_1015
2025-10-16 00:16:11 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_benefit_1015
2025-10-16 00:16:12 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dpointdraw_benefit_1015
2025-10-16 00:16:12 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:12 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:12 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 9] AI Product: 네이버페이 포인트 뽑기 이벤트 (브랜드)
2025-10-16 00:16:12 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_brand_1015
2025-10-16 00:16:12 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=pointdraw_brand_1015
2025-10-16 00:16:12 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dpointdraw_brand_1015
2025-10-16 00:16:12 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:12 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:12 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 10] AI Product: 네이버페이 광고 링크 1
2025-10-16 00:16:12 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://ofw.adison.co/u/naverpay/ads/939263
2025-10-16 00:16:12 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://ofw.adison.co/u/naverpay/ads/939263
2025-10-16 00:16:14 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=262144&url=https%3A%2F%2Fpoint.pay.naver.com%2Fbridge%2Feventbenefit%3FadId%3D939263%26fromPage%3DRELOAD_FROM_AUTH
2025-10-16 00:16:14 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:14 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:14 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 11] AI Product: 네이버페이 광고 링크 2
2025-10-16 00:16:14 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://ofw.adison.co/u/naverpay/ads/880022
2025-10-16 00:16:14 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://ofw.adison.co/u/naverpay/ads/880022
2025-10-16 00:16:15 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=262144&url=https%3A%2F%2Fpoint.pay.naver.com%2Fbridge%2Feventbenefit%3FadId%3D880022%26fromPage%3DRELOAD_FROM_AUTH
2025-10-16 00:16:15 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:15 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:15 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 12] AI Product: 네이버페이 광고 링크 3
2025-10-16 00:16:15 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://ofw.adison.co/u/naverpay/ads/730013
2025-10-16 00:16:15 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://ofw.adison.co/u/naverpay/ads/730013
2025-10-16 00:16:17 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=262144&url=https%3A%2F%2Fpoint.pay.naver.com%2Fbridge%2Feventbenefit%3FadId%3D730013%26fromPage%3DRELOAD_FROM_AUTH
2025-10-16 00:16:17 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:17 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:17 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 13] AI Product: 네이버페이 보험 무작위 포인트 3회 적립 이벤트
2025-10-16 00:16:17 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://insurance.pay.naver.com/?inflow=point_category
2025-10-16 00:16:17 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://insurance.pay.naver.com/?inflow=point_category
2025-10-16 00:16:18 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://insurance.pay.naver.com/?inflow=point_category
2025-10-16 00:16:18 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: insurance.pay.naver.com
2025-10-16 00:16:18 | INFO     | BaseScraper:_infer_shop_name_from_link:567 |  - Matched subdomain 'pay.naver.com' -> '네이버페이'
2025-10-16 00:16:18 | INFO     | BaseScraper:_process_detail_pages:664 | Processing post_link: https://www.clien.net/service/board/jirum/19078155?od=T31&po=0&category=0&groupCd=
2025-10-16 00:16:18 | INFO     | BaseScraper:_process_detail_pages:667 | Processing deal: 251014 - 네이버 10원 추가 - 적립 종료...
2025-10-16 00:16:19 | WARNING  | BaseScraper:_process_detail_pages:682 | 지정된 콘텐츠 선택자를 찾지 못했습니다. body 전체를 사용합니다: https://www.clien.net/service/board/jirum/19078155?od=T31&po=0&category=0&groupCd=
2025-10-16 00:16:22 | INFO     | BaseScraper:_process_detail_pages:704 |   [AI Multi-Deal Analysis] Found 1 deals.
2025-10-16 00:16:22 | INFO     | BaseScraper:_process_detail_pages:720 |   [Image Debug] Post Representative Image: https://edgio.clien.net/F94/10149595/8c72b5bd6c678d.gif
2025-10-16 00:16:22 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 1] AI Product: 네이버 10원 추가 적립 이벤트 (21시 30분까지)
2025-10-16 00:16:22 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_shoppinglive_251014_1124
2025-10-16 00:16:22 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_shoppinglive_251014_1124
2025-10-16 00:16:23 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_shoppinglive_251014_1124
2025-10-16 00:16:23 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:23 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:23 | INFO     | BaseScraper:run:255 | [클리앙] 13개의 새로운 딜을 DB에 저장했습니다
2025-10-16 00:16:27 | INFO     | BaseScraper:run:208 | [퀘이사존] 스크래핑 프로세스 시작
2025-10-16 00:16:30 | INFO     | BaseScraper:_create_selenium_driver:319 | [퀘이사존] 드라이버 초기화 완료
2025-10-16 00:16:31 | INFO     | BaseScraper:_process_detail_pages:664 | Processing post_link: https://quasarzone.com/bbs/qb_saleinfo/views/1864840
2025-10-16 00:16:31 | INFO     | BaseScraper:_process_detail_pages:667 | Processing deal: [기타] 진주햄 천하장사 더블링 콰트로치즈 750g(25gX10개입X3개)...
2025-10-16 00:16:33 | INFO     | BaseScraper:_process_detail_pages:678 | 콘텐츠 요소를 찾았습니다 (selector: 'div.view-content')
2025-10-16 00:16:35 | INFO     | BaseScraper:_process_detail_pages:704 |   [AI Multi-Deal Analysis] Found 1 deals.
2025-10-16 00:16:35 | INFO     | BaseScraper:_process_detail_pages:720 |   [Image Debug] Post Representative Image: https://img2.quasarzone.com/editor/2025/10/16/d569eec6b9ae1b326e42893708a62ea6.jpg
2025-10-16 00:16:35 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 1] AI Product: 진주햄 천하장사 더블링 콰트로치즈 750g (25gX10개입X3개)
2025-10-16 00:16:35 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://img2.quasarzone.com/editor/2025/10/16/d569eec6b9ae1b326e42893708a62ea6.jpg
2025-10-16 00:16:35 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://img2.quasarzone.com/editor/2025/10/16/d569eec6b9ae1b326e42893708a62ea6.jpg
2025-10-16 00:16:35 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://img2.quasarzone.com/editor/2025/10/16/d569eec6b9ae1b326e42893708a62ea6.jpg
2025-10-16 00:16:35 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: img2.quasarzone.com
2025-10-16 00:16:35 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: img2.quasarzone.com
2025-10-16 00:16:36 | INFO     | BaseScraper:_process_detail_pages:664 | Processing post_link: https://quasarzone.com/bbs/qb_saleinfo/views/1864839
2025-10-16 00:16:36 | INFO     | BaseScraper:_process_detail_pages:667 | Processing deal: [옥션] 덴티스테 오리지널 플러스 화이트 프리미엄 치약 160g 4개+미니치약20g 3개...
2025-10-16 00:16:38 | INFO     | BaseScraper:_process_detail_pages:678 | 콘텐츠 요소를 찾았습니다 (selector: 'div.view-content')
2025-10-16 00:16:39 | INFO     | BaseScraper:_process_detail_pages:704 |   [AI Multi-Deal Analysis] Found 1 deals.
2025-10-16 00:16:39 | INFO     | BaseScraper:_process_detail_pages:720 |   [Image Debug] Post Representative Image: https://img2.quasarzone.com/editor/2025/10/16/2062c3f165d8355543bd64eb95c84d2b.jpeg
2025-10-16 00:16:39 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 1] AI Product: 덴티스테 오리지널 플러스 화이트 프리미엄 치약 160g 4개+미니치약20g 3개
